sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-18.550821077920208,-18.509808279421325,-16.009732429697394,-17.69012059567964,1.4554033130682595,0.8402774945794329
12,-18.904362539315915,-18.1373012350708,-15.80761794784045,-17.61642724074239,1.6127427118681588,0.9311174388306885
14,-18.72476223156997,-18.163666279364605,-15.495536120099898,-17.461321543678157,1.7253815275352518,0.9961494893772853
16,-18.559011930568108,-17.62127279493519,-15.445288624238968,-17.20852444991409,1.597369432639977,0.9222416719299705
18,-18.710225428279465,-17.815124044422294,-15.299225730379314,-17.274858401027025,1.768514902070013,1.0210525547759868
20,-18.69967992718781,-17.729996713814028,-15.022697839188783,-17.15079149339687,1.905691038543573,1.1002512340953894
22,-18.380579784489,-17.765367639575405,-15.187080558607969,-17.111009327557458,1.6943281638472285,0.9782208214927618
24,-18.51377787237991,-17.848212429275048,-15.210287119738592,-17.190759140464518,1.7471251839586412,1.008703195266496
26,-18.751398384206627,-17.77129204760486,-15.483637484164776,-17.33544263865875,1.6769134907381433,0.9681664552853821
28,-18.875337712735032,-17.97628741136924,-15.768111024253194,-17.53991204945249,1.5989158876468246,0.9231345181444637
30,-19.05738235354317,-18.19390370144393,-16.11918916772162,-17.790158407569574,1.5101332709553539,0.8718758504982836
