sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-19.88328837295278,-19.154278080021484,-18.900835000254776,-19.312800484409678,0.5100496759151815,0.2944773176897114
12,-19.40604752916097,-18.59805937329253,-18.34139698943839,-18.78183463063063,0.5556079569626032,0.32078040351625703
14,-19.3215079490175,-18.624951024188466,-17.736522943828785,-18.560993972344917,0.7944257328590619,0.45866191071734513
16,-19.39795367388745,-18.486532147224903,-16.64005785163613,-18.17484789091616,1.4051183751986422,0.8112454721642257
18,-19.01776799066103,-18.31935369877132,-16.259803950599647,-17.865641880010667,1.4338696671700166,0.8278450383234482
20,-19.16291525076023,-18.27636969695668,-16.108462277969924,-17.849249075228943,1.5713830722887716,0.9072384397859435
22,-19.24429082288054,-18.587545237748387,-16.273235071878386,-18.035023710835773,1.5606899426750755,0.9010647585249966
24,-19.22254506875929,-18.62540216482012,-16.414346905862843,-18.08743137981408,1.4793761031812536,0.8541181914043964
26,-19.05106885430252,-18.495373164232987,-16.360482912572664,-17.96897497703606,1.4204346046445595,0.8200883013577961
28,-19.171375941482783,-18.32326430967855,-16.325354124350092,-17.939998125170472,1.4612083260231408,0.8436290203715828
30,-19.05738235354317,-18.19390370144393,-16.11918916772162,-17.790158407569574,1.5101332709553539,0.8718758504982836
