sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-20.975602905905973,-22.48860145427481,-24.9601316220172,-22.808111994065996,2.011388204986046,1.161275521593532
12,-20.923446378839564,-22.10572804154108,-24.34619889680623,-22.458457772395622,1.7384252635886663,1.0036802938989626
14,-20.41827371660773,-21.99317105169759,-23.55806978318657,-21.989838183830628,1.569900686646183,0.9063825840361522
16,-19.696365340586624,-21.65573832636138,-22.350944838030504,-21.234349501659505,1.376544399302134,0.7947482794885589
18,-19.288861575784274,-21.46693833850606,-22.15713611724162,-20.970978677177317,1.497074380430738,0.8643362965385789
20,-19.07594834044792,-21.36172915819086,-21.648911770374728,-20.695529756337834,1.4099295851946574,0.8140232255505528
22,-19.170084669342256,-21.178420575330662,-21.29764490069366,-20.548716715122193,1.195417645920494,0.6901746996662259
24,-19.074112918180685,-20.89196855615687,-21.27800649318149,-20.414695989173016,1.1769148439368822,0.6794921019602254
26,-19.344136230677208,-20.55854200485883,-21.24519160961689,-20.382623281717642,0.9626595640789077,0.5557917584589253
28,-19.326822642855788,-20.257988302158225,-20.715784470428822,-20.100198471814277,0.7077972608973098,0.40864693911074157
30,-19.39147969290324,-19.970364483039777,-20.30307778510521,-19.88830732034941,0.4613055428760456,0.26633487935815137
