,Frame number,HADDOCK score
0,1,-67.4518
1,2,-68.3706
2,3,-66.8218
3,4,-65.3579
4,5,-67.6617
5,6,-72.7885
6,7,-60.9569
7,8,-69.4234
8,9,-64.141
9,10,-61.7317
10,11,-61.8217
11,12,-64.0724
12,13,-56.7977
13,14,-65.2505
14,15,-62.5552
15,16,-69.8888
16,17,-65.8005
17,18,-61.9523
18,19,-69.2982
19,20,-68.8387
20,21,-74.7555
21,22,-68.9743
22,23,-65.4066
23,24,-58.5114
24,25,-65.0932
25,26,-74.6254
26,27,-65.3089
27,28,-55.7946
28,29,-60.8695
29,30,-64.5788
30,31,-67.9361
31,32,-71.3687
32,33,-62.4341
33,34,-68.4025
34,35,-66.0026
35,36,-68.882
36,37,-0.4822
37,38,-71.0979
38,39,-74.256
39,40,-63.9312
40,41,-1.1694
41,42,2.4187
42,43,-0.3754
43,44,0.279
44,45,0.9857
45,46,-0.2313
46,47,-0.3353
47,48,0.3525
48,49,1.2528
49,50,0.4096
50,51,0.5303
51,52,1.9007
52,53,0.1439
53,54,-0.0164
54,55,-0.5804
55,56,0.5365
56,57,-2.0439
57,58,1.7976
58,59,-0.2004
59,60,-0.0761
60,61,0.5567
61,62,0.0656
62,63,1.0947
63,64,0.3997
64,65,-0.2969
65,66,-65.8668
66,67,-0.3531
67,68,0.3711
68,69,-65.9549
69,70,-61.2081
70,71,-57.4848
71,72,-51.8436
72,73,-59.2211
73,74,1.6525
74,75,-0.6534
75,76,-0.9144
76,77,-0.6794
77,78,2.5829
78,79,-0.6975
79,80,0.6639
80,81,-0.2461
81,82,-0.0682
82,83,1.766
83,84,0.0161
84,85,-4.941
85,86,-0.9855
86,87,1.3137
87,88,0.2105
88,89,-0.578
89,90,0.4346
90,91,-1.1687
91,92,-1.2395
92,93,-2.4018
93,94,-0.9406
94,95,1.4679
95,96,-0.5409
96,97,-0.1085
97,98,-0.9831
98,99,-1.2164
99,100,0.3598
