sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-9.92221690853972,-9.506609088130707,-12.84318114317961,-10.757335713283345,1.8183085087961917,1.0498009070232683
12,-9.919388985031055,-10.34302036269257,-12.604909632118051,-10.95577299328056,1.4438159945789542,0.8335875531304465
14,-9.812237837852498,-10.847701049990189,-11.739377949383329,-10.799772279075336,0.9644636476709848,0.5568333466064515
16,-9.74938310221092,-11.460587059965045,-11.376701438690834,-10.862223866955597,0.9646606269161615,0.556947072626679
18,-9.911502429714211,-11.4514597959278,-11.343445395092752,-10.902135873578255,0.8596119722138527,0.496297203556293
20,-9.825268448333738,-11.739920888895949,-11.198016273550897,-10.92106853692686,0.9869136378901601,0.5697948545027968
22,-9.987773727647376,-11.632838859841891,-11.051386563621575,-10.890666383703616,0.8342260212107904,0.4816406179110403
24,-10.196273783489358,-11.755960935213745,-11.161206800181462,-11.037813839628187,0.7871311008015809,0.4544503529353192
26,-10.300196258018865,-11.660580838905211,-11.111917351528536,-11.024231482817536,0.684418118299795,0.3951489848386438
28,-10.422223235855888,-11.439404620315202,-11.087183663603737,-10.982937173258277,0.5165413732554741,0.29822530089662697
30,-10.512209908950634,-11.561202167571595,-11.111223918589443,-11.061545331703892,0.526257694630573,0.30383502165807325
