sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-9.76595130488485,-7.944728792463087,-12.836534384554286,-10.182404827300742,2.4723502259900667,1.4274120685063971
12,-8.990883931799251,-7.877191650442484,-12.408692142967352,-9.758922575069697,2.3613633131320158,1.3633337444912759
14,-9.133491084879694,-8.013390066828173,-12.212277396508895,-9.786386182738921,2.1742510684014356,1.2553044396274002
16,-9.31604667980328,-8.19712369195461,-11.853136628598744,-9.788769000118878,1.873287869581378,1.0815432557724691
18,-9.44757925961037,-8.657785088947211,-11.9531448843336,-10.019503077630393,1.720514947763084,0.9933397682357914
20,-9.921457329555924,-8.749678641085362,-11.73956620210881,-10.136900724250033,1.5065420004529166,0.8698024295069687
22,-10.12367990395547,-8.867742201876377,-11.480679993176423,-10.15736736633609,1.3067945933245306,0.7544782102314653
24,-10.390364839355264,-8.963268218743334,-11.422973309914852,-10.258868789337816,1.2351136353637324,0.7130931898570282
26,-10.285587856046496,-9.114261369424709,-11.36169767523295,-10.253848966901385,1.1240542713674342,0.6489730361577368
28,-10.057023179424617,-9.0073139074591,-11.211313120879025,-10.091883402587582,1.1024130621314954,0.6364784781797785
30,-9.80202822902072,-8.988870726961387,-11.058625802492411,-9.949841586158174,1.0427646472636056,0.6020404497990679
