sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
1,-1.1703474195800248,-1.412419331064868,-1.1829543813715455,-1.2552403773388128,0.13626683929781408,0.07867369635021244
2,-0.8887068839979159,-1.4250362103705478,-1.4362177904742712,-1.249986961614245,0.31292767182729236,0.18066887556637012
3,-0.7720989118128777,-1.3795154314218434,-1.3056997391784837,-1.1524380274710682,0.33144467303017927,0.1913596711954415
4,-0.7590135471444702,-1.3020825900314312,-1.212345474167921,-1.0911472037812742,0.2911146885577504,0.16807514380387129
5,-0.7684352871902931,-1.3413895989471476,-1.103500951572965,-1.071108612570135,0.28784737024983986,0.16618875669927094
