,Frame number,HADDOCK score
0,1,-175.9889
1,2,-166.9607
2,3,-188.2819
3,4,-162.9723
4,5,-163.9523
5,6,-154.0451
6,7,-181.8087
7,8,-186.1617
8,9,-159.0893
9,10,-185.581
10,11,-178.2605
11,12,-171.8748
12,13,-200.6828
13,14,-180.8352
14,15,-195.6144
15,16,-188.4431
16,17,-191.5282
17,18,-199.5686
18,19,-178.077
19,20,-170.8193
20,21,-177.9621
21,22,-185.2038
22,23,-176.5558
23,24,-171.8879
24,25,-201.2688
25,26,-166.6237
26,27,-168.9399
27,28,-180.8469
28,29,-171.6363
29,30,-180.0773
30,31,-161.4155
31,32,-153.8719
32,33,-195.7336
33,34,-180.2074
34,35,-193.3247
35,36,-171.3681
36,37,-157.4164
37,38,-169.6091
38,39,-162.5036
39,40,-162.406
40,41,-186.0527
41,42,-184.0335
42,43,-219.479
43,44,-219.1692
44,45,-190.7751
45,46,-177.724
46,47,-195.1458
47,48,-185.4076
48,49,-160.9175
49,50,-162.9785
50,51,-170.1612
51,52,-186.2085
52,53,-195.1268
53,54,-192.3712
54,55,-191.6226
55,56,-189.7795
56,57,-170.3542
57,58,-194.1737
58,59,-179.6008
59,60,-194.7874
60,61,-173.0444
61,62,-200.4968
62,63,-173.0215
63,64,-181.3586
64,65,-173.3872
65,66,-187.0637
66,67,-181.3187
67,68,-185.0477
68,69,-192.0558
69,70,-177.1523
70,71,-190.8458
71,72,-172.3968
72,73,-161.7576
73,74,-142.3373
74,75,-144.511
75,76,-152.2286
76,77,-147.0766
77,78,-145.3907
78,79,-157.404
79,80,-150.6381
80,81,-153.6418
81,82,-150.3949
82,83,-168.008
83,84,-167.5915
84,85,-155.4164
85,86,-172.8226
86,87,-157.2209
87,88,-158.8637
88,89,-145.0338
89,90,-163.3837
90,91,-166.9052
91,92,-165.916
92,93,-164.5839
93,94,-158.2055
94,95,-191.92
95,96,-161.2734
96,97,-177.1232
97,98,-156.8807
98,99,-160.6039
99,100,-180.301
