sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
1,-0.0781855860730078,-0.1647335298544623,-0.2417023556056705,-0.16154049051104688,0.08180513495365636,0.04723021668658717
2,-0.083348519339208,-0.1243315160366197,-0.1943791137237392,-0.1340197163665223,0.0561457401907733,0.03241575821299376
3,-0.0837302891433165,-0.1229012643925469,-0.1592807484427569,-0.12197076732620675,0.037783823836159705,0.021814500862820205
4,-0.0798281245765636,-0.1311515779740066,-0.1299049601720023,-0.11362822090752416,0.029278377652676192,0.016903879219208124
5,-0.0812736640261257,-0.1307056647619117,-0.1156455084571218,-0.10920827908171972,0.02533691211867266,0.014628273032149553
