,Frame number,HADDOCK score
0,1,-58.8522
1,2,-60.0621
2,3,-65.3673
3,4,-65.7029
4,5,-61.2523
5,6,-64.8884
6,7,-57.4972
7,8,-67.5567
8,9,-64.9928
9,10,-73.078
10,11,-68.7586
11,12,-69.858
12,13,-70.2013
13,14,-76.202
14,15,-79.9454
15,16,-76.3219
16,17,-70.8631
17,18,-77.2516
18,19,-81.3034
19,20,-86.0954
20,21,-83.0232
21,22,-78.7897
22,23,-73.6023
23,24,-75.2438
24,25,-76.0948
25,26,-77.5669
26,27,-76.7871
27,28,-75.4388
28,29,-83.7426
29,30,-76.912
30,31,-89.3535
31,32,-72.4041
32,33,-70.4196
33,34,-63.2339
34,35,-70.9537
35,36,-66.8647
36,37,-69.3097
37,38,-64.3844
38,39,-73.9202
39,40,-75.6319
40,41,-62.5071
41,42,-75.2989
42,43,-68.3615
43,44,-77.3193
44,45,-74.5997
45,46,-75.9438
46,47,-86.5157
47,48,-76.4603
48,49,-78.5574
49,50,-77.441
50,51,-73.5893
51,52,-68.7587
52,53,-65.2455
53,54,-59.8204
54,55,-61.2641
55,56,-62.5986
56,57,-70.5156
57,58,-62.4658
58,59,-69.0226
59,60,-64.4127
60,61,-66.862
61,62,-69.0883
62,63,-68.4104
63,64,-64.6426
64,65,-59.4619
65,66,-60.6007
66,67,-63.1296
67,68,-65.1023
68,69,-59.3708
69,70,-67.4097
70,71,-68.1319
71,72,-67.2391
72,73,-69.3123
73,74,-66.1708
74,75,-69.0166
75,76,-70.4771
76,77,-72.846
77,78,-60.8116
78,79,-56.4694
79,80,-61.562
80,81,-53.4482
81,82,-61.708
82,83,-70.674
83,84,-54.6359
84,85,-57.5189
85,86,-54.8177
86,87,-49.0854
87,88,-46.725
88,89,-59.4462
89,90,-47.5145
90,91,-51.4087
91,92,-59.0517
92,93,-71.6241
93,94,-62.0345
94,95,-61.3191
95,96,-71.8704
96,97,-56.1196
97,98,-63.3018
98,99,-57.1896
99,100,-54.8654
