sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-16.336152187562533,-16.630573196618517,-17.795670084489196,-16.92079848955675,0.77182975024167,0.4456161140705898
12,-16.5756907922712,-16.872301852049763,-17.088796714225346,-16.84559645284877,0.2575932948389125,0.1487215581166888
14,-16.68934830878689,-17.038889509606637,-16.217035697751992,-16.64842450538184,0.41245240971396185,0.2381295097762657
16,-16.858442349746262,-16.860592262398708,-16.18815428395197,-16.635729632032312,0.3876131121208795,0.2237885346244184
18,-16.646534172351874,-17.025425173729065,-16.10204593666008,-16.591335094247004,0.46415784764479195,0.26798165828419795
20,-16.49177163554199,-17.361821185109488,-15.96866545341018,-16.60741942468722,0.7037410969541943,0.4063051117663066
22,-16.557416079896427,-17.592863374977576,-15.819004509374224,-16.656427988082743,0.8910647211296852,0.5144564566096026
24,-16.57279609428344,-17.403603535724592,-15.855109603599002,-16.610503077869012,0.774935304987316,0.4474091069389717
26,-16.74924999194394,-17.489906527018334,-15.977773608439872,-16.73897670913405,0.7561188042344429,0.4365453951640936
28,-17.084735639009917,-17.724827990257552,-15.868443276225184,-16.892668968497553,0.942978396393331,0.5444288309976913
30,-17.238820381742936,-17.575822278818784,-15.678872542303958,-16.831171734288557,1.0120462640336427,0.5843051829721787
