sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-19.2435011708501,-18.745804318296408,-15.589288604404294,-17.859531364516933,1.9817737463301293,1.1441776059166333
12,-19.087273093166328,-18.58112910678209,-15.394440348671091,-17.68761418287317,2.002006520753623,1.1558590036764904
14,-18.329807378751543,-18.542458128044903,-15.405310324922986,-17.425858610573144,1.7530734771470933,1.0121374439400677
16,-17.715575110196916,-17.961593999321813,-15.442189413607425,-17.039786174375383,1.389016875694378,0.801949267091082
18,-17.413419023227448,-18.02991837579721,-15.278568437690105,-16.907301945571586,1.4438135242134535,0.8335861268642597
20,-17.227874396494734,-18.044040865309995,-15.222031715855325,-16.831315659220017,1.4521976566511723,0.8384267079840981
22,-17.138938835201316,-17.862213362281864,-15.31716534229663,-16.772772513259937,1.3114403103080021,0.7571604161824514
24,-17.520986038243034,-17.88877584301035,-15.32658236304091,-16.9121147480981,1.3853707240921282,0.799844160482017
26,-17.70021393142036,-17.681358452839177,-15.378641904471158,-16.9200714295769,1.3349504177754747,0.7707339830574738
28,-17.544793670746248,-17.62185499789585,-15.471090217681402,-16.879246295441167,1.2201074815500217,0.7044293829131815
30,-17.238820381742936,-17.575822278818784,-15.678872542303958,-16.831171734288557,1.0120462640336427,0.5843051829721787
