#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-856427.4656896302,3017.210140272513,-853410.2555493577,6.908974358947699,520.3953654581676,1.0033649631677077,0
2000,7.999999999999562,-855300.7156896302,5342.901221622486,-849957.8144680078,12.234470198103617,520.3953654581676,1.0033649631677077,1.03e+03
3000,11.999999999999122,-853527.7156896302,7887.538766581914,-845640.1769230483,18.06132173763623,520.3953654581676,1.0033649631677077,613
4000,15.999999999998682,-851902.9656896302,10472.081258626204,-841430.8844310041,23.979549828150333,520.3953654581676,1.0033649631677077,706
5000,20.000000000000018,-850257.7156896302,13111.830593941915,-837145.8850956883,30.024193596349466,520.3953654581676,1.0033649631677077,692
6000,24.000000000001354,-848502.4656896302,15810.755770239048,-832691.7099193912,36.20434147231781,520.3953654581676,1.0033649631677077,738
7000,28.00000000000269,-846829.4656896302,18399.66419338406,-828429.8014962461,42.13256691290878,520.3953654581676,1.0033649631677077,772
8000,32.00000000000402,-844782.4656896302,20820.01906571495,-823962.4466239153,47.67482912702753,520.3953654581676,1.0033649631677077,767
9000,36.000000000001805,-843133.4656896302,23674.7317194802,-819458.73397015,54.21170776990729,520.3953654581676,1.0033649631677077,790
10000,39.99999999999959,-841387.2156896302,26154.15748060163,-815233.0582090286,59.88923376647415,520.3953654581676,1.0033649631677077,772
11000,43.99999999999737,-839370.4656896302,28830.747580143186,-810539.7181094871,66.0182375505711,520.3953654581676,1.0033649631677077,789
12000,47.999999999995154,-837516.7156896302,31609.180138750875,-805907.5355508793,72.38044582014564,520.3953654581676,1.0033649631677077,803
13000,51.99999999999294,-835711.9656896302,34290.453730917136,-801421.5119587131,78.5201741242296,520.3953654581676,1.0033649631677077,788
14000,55.99999999999072,-833914.4656896302,36833.853679582026,-797080.6120100482,84.34419174743945,520.3953654581676,1.0033649631677077,800
15000,59.9999999999885,-831784.4656896302,39588.690305174125,-792195.7753844562,90.65236874686674,520.3953654581676,1.0033649631677077,786
16000,63.99999999998629,-829934.9656896302,41984.2379847946,-787950.7277048356,96.13782608151551,520.3953654581676,1.0033649631677077,796
17000,67.99999999999118,-827834.9656896302,44717.658763338506,-783117.3069262918,102.39696389200591,520.3953654581676,1.0033649631677077,805
18000,71.99999999999606,-825717.4656896302,47331.730145581096,-778385.7355440492,108.38280886558199,520.3953654581676,1.0033649631677077,786
19000,76.00000000000095,-823169.9656896302,49627.51728916666,-773542.4484004636,113.63982901705273,520.3953654581676,1.0033649631677077,794
20000,80.00000000000584,-820808.4656896302,52798.69029709458,-768009.7753925356,120.90135605062626,520.3953654581676,1.0033649631677077,790
21000,84.00000000001073,-818770.9656896302,55319.43867796654,-763451.5270116637,126.67350486331397,520.3953654581676,1.0033649631677077,797
22000,88.00000000001562,-816076.9656896302,57435.48656800724,-758641.479121623,131.51894814863851,520.3953654581676,1.0033649631677077,803
23000,92.0000000000205,-813456.9656896302,60412.76268286834,-753044.2030067618,138.33647937144718,520.3953654581676,1.0033649631677077,794
24000,96.0000000000254,-810814.2156896302,62724.46918644878,-748089.7465031815,143.62995255233986,520.3953654581676,1.0033649631677077,800
25000,100.00000000003028,-807823.4656896302,65139.390575475525,-742684.0751141547,149.1597728764069,520.3953654581676,1.0033649631677077,791
26000,104.00000000003517,-805420.9656896302,68853.4349133183,-736567.530776312,157.66439665306996,520.3953654581676,1.0033649631677077,797
27000,108.00000000004006,-802132.9656896302,70804.51042034337,-731328.4552692869,162.13207706766306,520.3953654581676,1.0033649631677077,802
28000,112.00000000004495,-799591.7156896302,73297.32755097817,-726294.3881386521,167.84026736147726,520.3953654581676,1.0033649631677077,794
29000,116.00000000004984,-796457.9656896302,76034.80718580273,-720423.1585038275,174.10869936516798,520.3953654581676,1.0033649631677077,798
30000,120.00000000005473,-792704.9656896302,78115.91050733128,-714589.055182299,178.87412464822867,520.3953654581676,1.0033649631677077,791
31000,124.00000000005961,-789016.9656896302,80924.60843441368,-708092.3572552166,185.30563622948338,520.3953654581676,1.0033649631677077,795
32000,128.0000000000645,-785370.4656896302,83804.29077817666,-701566.1749114536,191.89969184709304,520.3953654581676,1.0033649631677077,799
33000,132.00000000005517,-780040.7156896302,86189.63307447208,-693851.0826151582,197.3617803315663,520.3953654581676,1.0033649631677077,792
34000,136.00000000004584,-774514.9656896302,88945.12197642075,-685569.8437132095,203.67145094940693,520.3953654581676,1.0033649631677077,795
35000,140.00000000003652,-769355.7156896302,91059.2888299225,-678296.4268597078,208.51258693341285,520.3953654581676,1.0033649631677077,789
36000,144.0000000000272,-762412.4656896302,93691.91153757263,-668720.5541520576,214.5409117561232,520.3953654581676,1.0033649631677077,792
37000,148.00000000001788,-755168.9656896302,96504.43235443212,-658664.5333351982,220.98117720145075,520.3953654581676,1.0033649631677077,795
38000,152.00000000000855,-748020.2156896302,99180.4961050887,-648839.7195845415,227.1089757228112,520.3953654581676,1.0033649631677077,789
39000,155.99999999999923,-740920.7156896302,101346.87616217937,-639573.8395274509,232.06967238307868,520.3953654581676,1.0033649631677077,792
40000,159.9999999999899,-733975.4656896302,104877.62790018384,-629097.8377894463,240.15458264507313,520.3953654581676,1.0033649631677077,786
41000,163.9999999999806,-728220.4656896302,107486.54783640761,-620733.9178532227,246.12863155314471,520.3953654581676,1.0033649631677077,788
42000,167.99999999997127,-721677.4656896302,109959.57263676816,-611717.893052862,251.79150027636516,520.3953654581676,1.0033649631677077,791
43000,171.99999999996194,-716310.9656896302,111578.27130178348,-604732.6943878467,255.49808584764511,520.3953654581676,1.0033649631677077,786
44000,175.99999999995262,-710863.9656896302,115009.34786686301,-595854.6178227672,263.3547543956236,520.3953654581676,1.0033649631677077,788
45000,179.9999999999433,-703172.4656896302,118543.67864496639,-584628.7870446639,271.44786014123486,520.3953654581676,1.0033649631677077,783
46000,183.99999999993398,-697903.4656896302,119794.47452306573,-578108.9911665645,274.31200159917296,520.3953654581676,1.0033649631677077,785
47000,187.99999999992465,-693182.4656896302,123374.13227208733,-569808.333417543,282.50889954528844,520.3953654581676,1.0033649631677077,788
48000,191.99999999991533,-688660.4656896302,125834.76543698995,-562825.7002526403,288.1433932174969,520.3953654581676,1.0033649631677077,783
