sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
1,-0.0699669861548764,-0.0515782771130899,-0.0413266939076746,-0.0542906523918803,0.014511523687780923,0.008378232107491947
2,-0.0656651091861052,-0.0540666421855557,-0.0396314874068837,-0.053121079592848196,0.013042543164522583,0.007530115806954427
3,-0.0636002023635852,-0.062456116374473,-0.039544358647367,-0.05520022579514173,0.01357044086605884,0.00783489768704097
4,-0.0730126644937116,-0.0632280156666027,-0.0398836549423882,-0.058708111700900845,0.017020721704948207,0.009826918258153553
5,-0.0830413309921954,-0.0681689554097585,-0.0461716141527846,-0.0657939668515795,0.0185492434601305,0.01070941070497025
