sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-23.043880936472043,-17.5040449566291,-19.358539227570503,-19.968821706890548,2.819889926808202,1.6280642083278296
12,-23.349350185704026,-17.353508911595394,-19.04768098698766,-19.91684669476236,3.090973134266096,1.7845741711264318
14,-22.70267395264521,-18.54277291254694,-19.00727056210329,-20.084239142431812,2.2794933994451028,1.3160661277856054
16,-22.823314747073077,-18.77365809943981,-19.472998515610897,-20.356657120707926,2.1646175502156497,1.2497425253095937
18,-22.568373322590816,-19.52453081552305,-19.524002115857343,-20.538968751323736,1.7575159331541275,1.0147022971115918
20,-21.960043949596983,-19.50922350172701,-19.800089564664194,-20.423119005329397,1.338937817777991,0.7730361095222932
22,-21.4971758042373,-20.24567409140405,-20.162366549307187,-20.63507214831618,0.7477647168775601,0.43172216057976365
24,-21.33655072034929,-20.080591574638778,-20.1635627979473,-20.526901697645123,0.7024028124578436,0.4055324528520863
26,-21.40486757876903,-20.228796404259228,-20.036286953815424,-20.556650312281224,0.7408571863075724,0.42773409594574563
28,-21.29563877296106,-20.187242031149395,-20.069547634729688,-20.517476146280046,0.6764730577853552,0.3905619020119041
30,-21.18812196080146,-20.319048736608075,-20.16383365575517,-20.5570014510549,0.5520486877967473,0.31872545850523176
