,Frame number,HADDOCK score
0,1,-96.1382
1,2,-100.6825
2,3,-103.2722
3,4,-93.532
4,5,-87.5545
5,6,-94.6945
6,7,-93.2044
7,8,-94.7328
8,9,-93.5417
9,10,-102.6124
10,11,-78.2236
11,12,-82.4716
12,13,-94.3349
13,14,-92.0809
14,15,-90.4481
15,16,-86.441
16,17,-103.5846
17,18,-90.6402
18,19,-98.7774
19,20,-90.963
20,21,-96.5227
21,22,-101.8601
22,23,-79.2276
23,24,-100.6665
24,25,-110.3073
25,26,-98.7885
26,27,-98.7838
27,28,-108.1257
28,29,-105.161
29,30,-91.2826
30,31,-97.1523
31,32,-99.029
32,33,-95.9605
33,34,-92.9848
34,35,-93.113
35,36,-91.016
36,37,-91.2368
37,38,-91.6068
38,39,-94.8063
39,40,-81.104
40,41,-89.9727
41,42,-95.1087
42,43,-100.4232
43,44,-78.5496
44,45,-98.5947
45,46,-89.4354
46,47,-80.2269
47,48,-87.3453
48,49,-89.2165
49,50,-89.9989
50,51,-92.5324
51,52,-86.4525
52,53,-102.752
53,54,-96.9778
54,55,-95.427
55,56,-79.5416
56,57,-60.401
57,58,-83.2753
58,59,-84.7264
59,60,-97.9316
60,61,-83.6629
61,62,-105.6699
62,63,-89.502
63,64,-91.4643
64,65,-102.878
65,66,-96.0743
66,67,-95.3869
67,68,-91.8094
68,69,-99.4757
69,70,-93.7031
70,71,-102.7853
71,72,-92.6003
72,73,-89.2622
73,74,-91.2184
74,75,-121.1766
75,76,-79.5757
76,77,-90.687
77,78,-109.793
78,79,-99.6072
79,80,-103.1252
80,81,-109.4489
81,82,-99.7188
82,83,-100.8772
83,84,-104.3051
84,85,-104.9129
85,86,-90.8431
86,87,-99.2288
87,88,-94.5354
88,89,-93.2918
89,90,-96.5661
90,91,-107.1388
91,92,-110.251
92,93,-114.7845
93,94,-103.0437
94,95,-107.7068
95,96,-106.6727
96,97,-104.872
97,98,-107.1932
98,99,-109.4083
99,100,-104.5697
