sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,7.056570409996269,8.036196937545377,7.592928751267449,7.561898699603032,0.490549876617254,0.2832191033159093
12,7.25754316307159,7.81038255408971,7.784787157611046,7.617570958257448,0.3120557499230191,0.18016547122022564
14,7.181870633793597,7.650945952651872,7.81601752020545,7.54961136888364,0.32899406041306045,0.18994480934126848
16,7.176218908593613,7.670312095255749,7.703682868596669,7.51673795748201,0.29536980062328094,0.17053183390033735
18,7.137609131518696,7.574307530886314,7.640018551019299,7.4506450711414365,0.2730807740639175,0.15766325841631415
20,7.033257821256793,7.516079239570832,7.559045721855979,7.369460927561202,0.2919519244097217,0.1685585221483821
